author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
85175754,2020-01-15 23:34:20+00:00, ,1217590871098642432,en,0,0,0,0,Twitter Web Client,"#President #Trump and #Vice-#Premier #Liu Deliver #Remarks During #Luncheon #Celebrating #US-#China #Trade #Agreement - #Video and #Transcript
https://t.co/a8fiWp8PsL
Via @thelastrefuge2 🌳"
2786569129,2020-01-15 23:33:58+00:00, ,1217590778551250946,en,48,1,1,18,Twitter Web Client,What Canada's government role should be in kickstarting #RareEarths and breaking #China's monopoly - https://t.co/OsRZBvfuA6 #cdnecon #cdnpoli #mining
937962626222497793,2020-01-15 23:33:48+00:00, ,1217590739724636161,en,0,0,0,0,Devdiscourse News Desk,"#US- #China trade deal, #USMCA to boost #economy -Mnuchin on Fox News https://t.co/kLaKSbvtAm"
1207129781147332608,2020-01-15 23:33:48+00:00, ,1217590738319314944,en,1,0,0,0,Twitter Web Client,"Beijing learned a lesson from the #TWICE incident in the 2016 Taiwan presidential election and tried not to raise the anti-China sentiment this time around. But then, there was the #HongKongProtests.

#Taiwan2020 #Taiwan #TsaiIngwen #트와이스 #China
https://t.co/bnOck1y9eV"
67625793,2020-01-15 23:33:00+00:00, ,1217590537525526528,en,0,0,0,0,Buffer,HEROIN PROOF YOUR KIDS. 6 minute family recovery video. https://t.co/Dh9c2yg3Oj  c #moscow #china #hongkong #shanghai #mumbai #mcdonalds #nyc #nyt #aunty #barbra #selenagomez #ladygaga #boston #indians #redskins
876080984348803078,2020-01-15 23:31:38+00:00, ,1217590191705096197,en,0,0,0,0,Instagram,"Another #rainy day.

#shanghai 
#china 
#cold 
#people @ Shanghai, China https://t.co/K40DFyo25A"
1152354679273267200,2020-01-15 23:31:15+00:00, ,1217590094867181568,en,0,0,0,0,Twitter for Android,"Trump Signs Phase One of China Trade Deal, Plans to Visit Beijing in ‘Not Too Distant Future’

#USA #Trump #washington #Congress #economy #China #Beijing #Hong_Kong #ASIA 

https://t.co/wXZzq3uT0t"
46096376,2020-01-15 23:30:11+00:00, ,1217589830143631360,en,4,0,0,5,Twitter for iPhone,"This hologram provides immigration instructions at a Chinese airport

via @BryanDruzin RT @alvinfoo #china #AI #hologram #CES #CES2020 #ces20 #holograph #3D #future #EmergingTech #MI #ArtificialIntelligence #DigitalTransformation #ML #DL #futureofwork https://t.co/vLlqO3EwXJ"
2584851678,2020-01-15 23:30:01+00:00, ,1217589784618655745,en,0,0,0,0,Buffer,"#China #NotCurrencyManipulator, #USTreasury says https://t.co/zMjdbPJO1X"
1151096279847591936,2020-01-15 23:29:34+00:00, ,1217589674404872192,en,6,1,0,3,Twitter for Android,"XtraTalk Ajax in full effect!
Compared to last year, will Ajax do better this year?

Please tell us what you think and don't forget to like and subscribe to our YouTube Channel: https://t.co/Di4ybI9Bqe. 

#wetalkajax #Ajax #tenhag #soccer #Spain #Mexico #Brazil #Argentina #China https://t.co/JElJaUqEqe"
190582249,2020-01-15 23:28:52+00:00, ,1217589496818098176,en,1,0,0,0,Twitter for iPhone,"Hail the deal! Hopefully the global economy will be in a healthier state going forward 👌
BBC News - US and #China sign deal to ease trade war https://t.co/rQYywDMV0U #Huawei"
279483742,2020-01-15 23:28:08+00:00, ,1217589314701484032,en,0,0,0,0,Google,#Trump #signs “#Phase One” #trade #deal with #China – #watch #live #stream #today… https://t.co/CRC9u3jdR1
1554660050,2020-01-15 23:28:07+00:00, ,1217589308074401792,en,0,0,0,0,SocialOomph,"#DidYouKnow: Century Glory vessel will offer passengers an unparalleled opportunity to explore old China by cruising on board a sleek and chic new ship. https://t.co/BKu6jdLaSv

#China #Travel #Cruise #News #2019 https://t.co/PnrP532gf2"
41626609,2020-01-15 23:26:54+00:00, ,1217589004251480064,en,0,0,0,0,Twitter Web App,.@nature :  #China is closing gap with United States on research spending  https://t.co/UpbnLv2Njc https://t.co/v2VoBYUly3
295863148,2020-01-15 23:26:26+00:00, ,1217588884101570565,en,1,2,0,2,Twitter for Android,"We're on day 15 of 2020. So far:

#Iran shoots down #UkrainianPlane
#China launches hypersonic #nuclear #missile
#TaalVolcano
#NewZealand #volcano
#AustralianBushfiresDisaster
#Dubai #flood
#Indonesia flood
#PuertoRicoEarthquake
World #War 3 threats
#HarryandMeghan #Markle farce https://t.co/kYbk9KOZTo"
24730470,2020-01-15 23:26:22+00:00, ,1217588867961847808,en,8,0,1,3,Twitter for iPhone,"Trump’s #China deal reflects his distinctive approach to reshaping trade policy, relying on government  dictates rather than market forces and a bilateral enforcement process instead of the #WTO  https://t.co/kvQSNoVHQ7"
2508726408,2020-01-15 23:26:10+00:00, ,1217588815684079617,en,4,0,0,2,Twitter Web App,"Despite #China's repeated (strategic) offer to buy more US semiconductor chips to reduce trade deficit with US, chips do not feature in the #PhaseOne purchase list. A reminder that the US-China tech battle is building in background of the trade truce, w/#Taiwan a key battleground"
26192899,2020-01-15 23:25:49+00:00, ,1217588729440718848,en,0,0,1,0,Twitter Web App,"Trading Day | The #ASX200 has extended its record rally, surging past 7000 in early trade after the #US and #China signed their phase one #tradedeal. https://t.co/x8fmKqRTic"
1004120974160285698,2020-01-15 23:25:27+00:00, ,1217588636226609152,en,0,0,0,0,Twitter for Android,"🐀HAPPY CHINESE NEW YEAR RATS🐀

For #Rat inspired gifts such as Birthday Cards, Aprons, Bags &amp; Mugs, go to the 💋SHARNIA ZAZZLE STORE💋

🌍https://t.co/vaza0sC9qL🌍

#ChineseNewYear #rats #Asia #birthday #gift #cute #China #Chinese #chinesenewyear2019 #yearoftherat #LunarNewYear https://t.co/70hRoqasTq"
202528126,2020-01-15 23:25:09+00:00, ,1217588562796744705,en,0,0,0,0,twittbot.net,HRIC Commentary: Hu Ping on Tibetan Self-Immolations https://t.co/WXaBEJU3ka #China #Humanrights #人权 #Hongkong
628729399,2020-01-15 23:24:21+00:00, ,1217588359801049088,en,8,0,4,3,Twitter for iPhone,"#INSOLITE: #BeatIt made in #China...RIP @michaeljackson. 🙏🏽😂🤣🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️😳🤷🏽‍♀️

#NoComplex https://t.co/p4IxDlUqeM"
3231019148,2020-01-15 23:23:37+00:00, ,1217588176371568643,en,1,0,0,1,Twitter for iPhone,"‘#Restore_Deterrence’ ⁦@frankgaffney⁩ We can bet #China will stonewall efforts to get more – and more enforceable – #structural_reforms in a “Phase Two” deal. Must be real costs for bad faith, serve notice now in the interest of deterring it later https://t.co/bJVuSKRSuI"
631865301,2020-01-15 23:23:03+00:00, ,1217588034754891776,en,12,0,2,0,Twitter for iPhone,Traditional #ChineseNewYear decorations on the #SISrocks campus in #Shenzhen #China. https://t.co/CqM6NZHCvz
1206648637457088513,2020-01-15 23:22:26+00:00, ,1217587878613655552,en,0,0,0,0,Twitter Web Client,"Sounds like there was no female tractor driver in China before the Chinese Communist Party (#CCP) took over #China in 1949.
BBC News - Liang Jun: China's first female tractor driver, and national icon, dies https://t.co/VF53Wm8hWp"
1087460448,2020-01-15 23:21:38+00:00, ,1217587675135270912,en,17,0,0,9,Twitter for iPhone,"Important update by @dickinsonwright #China Practice: “Phase One Trade Agreement” is set to be signed in Washington, D.C. today, and the @USTradeRep’s office continues on the vast majority of products subject to the original #tariffs. #tradewar #Section30 https://t.co/sDc6vRVohJ"
959943347216384000,2020-01-15 23:20:50+00:00, ,1217587474370715648,en,0,0,0,1,Twitter for Android,"Trump gets his #tradedeal &amp; claims a pyrrhic victory.
#Trump starts a fire, puts it out, claims the credit.
Cannot have #TradeWar hanging around #Election2020 because #tariffs are taxes on taxpayers &amp; #US #farmers need to sell to #China.
#soybeans
https://t.co/4cJKNgSzPS"
292691834,2020-01-15 23:20:04+00:00, ,1217587281768452097,en,2,0,0,1,Hootsuite Inc.,"""#China has repeatedly said that it will bring #Taiwan under its authority, but president says election result shows citizens don’t agree,"" reports @guardian https://t.co/sae2oFdLAn https://t.co/KbZzU36Gic"
926202476847607814,2020-01-15 23:20:00+00:00, ,1217587264273944576,en,0,0,0,0,eClincher,"Thinking about #China...

Did you know they have the world's largest snow and ice #festival?

https://t.co/tko5XFah3L 
#travel #VisitChina"
19610077,2020-01-15 23:19:32+00:00, ,1217587146317615109,en,0,0,0,0,Twitter Web App,Businesses say #China #trade deal is a good first step but want #tariffs to end. https://t.co/jpus8d6v39
174665387,2020-01-15 23:19:21+00:00, ,1217587103552417792,en,18,4,3,20,Twitter Web App,#China agreed to buy $200 BILLION over 2 years in additional #agriculture #energy #manufacturing and #services to reduce our large #Trade deficit. What are the commitments by year? @FarmBureau @VNigh with more here: https://t.co/6Ju3IsVDNV https://t.co/SwzeX2BUJr
14338852,2020-01-15 23:18:54+00:00,019bffff18ef2ba4,1217586990830325760,en,1,0,0,1,Twitter for Android,"#ReleasedToday  
 16 January 2020

#China will issue two #stamps today picturing the mascots for the Winter #2022Olympics and #Paralympics to be held in #Beijing.

https://t.co/rDJuyhZlcV

#2020stamps #NewIssues 
#PhilatelicPursuits #philately https://t.co/ny9bcZRCWv"
839405184,2020-01-15 23:18:38+00:00, ,1217586922509557760,en,0,0,0,0,Twitter Web App,"The Bilateral Evaluation and Dispute Resolution Arrangement, or why the #US-#China trade war might be back soon

https://t.co/yW6ArXa5M0"
41626609,2020-01-15 23:17:08+00:00, ,1217586545361731584,en,12,0,1,9,Twitter Web App,"International Journal of Infectious Diseases: The continuing epidemic threat of novel coronaviruses to global health - the latest novel #coronavirus outbreak in #Wuhan, #China  #WuhanPneumonia #WuhanCluster @ISID_org  https://t.co/2FN1l9G2DX https://t.co/Pt4ZDmkeWt"
85175754,2020-01-15 23:16:22+00:00, ,1217586350888837120,en,0,0,0,0,Twitter Web Client,"#President #Trump Participates in #Historic #US-#China '#Phase #One' #Trade #Agreement #Signing #Ceremony - #Video and #Transcript
https://t.co/VzXqBdGayk
Via @thelastrefuge2 🌳"
2356127598,2020-01-15 23:15:20+00:00, ,1217586092381278209,en,0,0,0,0,Twitter for iPhone,"“Pleased the Senate unanimously passed my bill requiring U.S. to partner w allies in the Indo-Pacific Europe &amp; beyond to address the rise of #China &amp; the threat that China poses to our values of freedom, human rights &amp; free enterprise”: @SenatorRomney #US 
https://t.co/tL3jSsE9jp"
28350927,2020-01-15 23:14:28+00:00, ,1217585875321851904,en,10,1,1,6,Hootsuite Inc.,"#China and the #US have signed a phase one #trade deal, but there are significant questions over how Beijing will fulfill its purchase commitments without significantly affecting its existing trade partners or the direction of trade flows. https://t.co/MQEVMq95qZ"
529499961,2020-01-15 23:12:13+00:00, ,1217585307148849160,en,2,0,0,1,LinkedIn,"US-China trade deal confirms our trade feud scenario but don’t get your hopes up, it does not mean a trade rebound just yet #trade #tradedeal #US #China #phase1 https://t.co/1mWZTd1LOl"
791805667405287424,2020-01-15 23:11:05+00:00, ,1217585022410133504,en,0,0,1,0,TruthPatroller,China guarantees Trump's spray tan #news #breakingnews #conspiracy #SusanCollins @realDonaldTrump #wakeup #realnews #truth #China #sheeple https://t.co/QDPOA2OLgW
2934851685,2020-01-15 23:10:47+00:00, ,1217584946392383488,en,0,0,0,0,RetailNews.asia,#DBS Obtains #Bond Settlement Agent License in #China | read: https://t.co/yxa328jjRD | #Asia #Bonds https://t.co/FDzE5RAw2A
2149428210,2020-01-15 23:10:05+00:00, ,1217584769938141184,en,2,0,0,4,Hootsuite Inc.,"US envoy to #Venezuela Elliott Abrams tells @Reuters that #China's involvement in the country ""is diminishing, not growing,"" due to Beijing's increasing concerns of economic mismanagement and corruption under the #Maduro regime, reports @mattspetalnick.  https://t.co/3cnqKYULAf"
7455282,2020-01-15 23:09:10+00:00, ,1217584539939299328,en,0,0,0,0,Twitter for Android,"Meanwhile behind closed doors...

#XiJinping: Nothing really changed from what we told you from the very beginning.

#Trump: With the #impeachment and so on, assassinating #Soleimani wasn't enough political points. I want to get re-elected. Thanks, buddy.

#tradewars #China #USA https://t.co/ibo1xp6BUr"
28120317,2020-01-15 23:08:15+00:00, ,1217584310536024065,en,1,0,0,1,Twitter Web App,"𝐏𝐫𝐨𝐠𝐫𝐞𝐬𝐬!

Read our full statement on the United States' phase one trade deal with #China. ⬇️

https://t.co/XAFkzy7i6g #IowaAg #Agriculture #AgTwitter"
2232046290,2020-01-15 23:06:32+00:00, ,1217583876903776259,en,0,0,0,0,Twitter for iPhone,"Still not tired of winning! #ChinaTradeDeal #KAG2020 #China 

https://t.co/2nGfes4V5x"
1203656514998865920,2020-01-15 23:06:16+00:00, ,1217583810361032710,en,0,0,0,0,Blitzpol,"China defends economy with rhetorical Q&amp;A amid slowing growth rate, trade war pressures #China https://t.co/BNQlFrbG8N https://t.co/DpW7YhwUeD"
1212479744899334145,2020-01-15 23:05:35+00:00, ,1217583637325058048,en,0,0,0,1,Twitter Web App,"Kai-Fu Lee, #Investor &amp; #Entrepreneur from #China, says over 40% of #jobs will be replaced by #ArtificialIntelligence this upcoming decade. Find out why the time to prepare is now in #GIFTpreneur (Ep:06) here: https://t.co/a5xqMrpQaj https://t.co/OE54Jhwebk"
329888286,2020-01-15 23:05:03+00:00, ,1217583504139149313,en,0,0,0,0,Sprout Social,"“Huawei is a perfect example of how the United States has been asleep at the wheel for the last twenty years in our relationship with #China.” - @SenRickScott

With #PhaseOne of the U.S.-China trade deal, how will the U.S. approach Chinese threats to security? 🇨🇳

#Concordia20 https://t.co/gMeSWkeSCS"
277709487,2020-01-15 23:05:00+00:00, ,1217583490318782465,en,0,0,0,0,TweetDeck,"Reaction to phase one #trade deal
#Agricultural groups praise #Trump, his administration for reaching phase one #trade deal with #China.
https://t.co/EiSdypuINY https://t.co/QL6FAWNNEl"
633913281,2020-01-15 23:05:00+00:00, ,1217583490314620928,en,6,1,1,12,TweetDeck,U.S. envoy sees #China scaling back economic support for Venezuela’s @NicolasMaduro https://t.co/WNl0EV8aBH https://t.co/vK0ouCVspd
2986098490,2020-01-15 23:04:00+00:00, ,1217583241261133824,en,0,0,0,0,Sprout Social,"“The deal does not address retaliatory #tariffs #China has placed on our dairy products. It is important that removing these tariffs be part of subsequent agreements."" https://t.co/bIjOJMLlcO #trade"
14662354,2020-01-15 23:03:45+00:00, ,1217583176404566020,en,15,0,1,9,Hootsuite Inc.,"Trump pronounced the deal “a landmark agreement” as he shook hands with #China’s top trade negotiator, Vice Premier Liu He, and other Chinese dignitaries.
https://t.co/VIEIRrUiuB"
937962626222497793,2020-01-15 23:03:45+00:00, ,1217583175901290502,en,0,0,0,0,Devdiscourse News Desk,"#US #STOCKS-Dow closes above 29,000 after #China and #US sign trade truce https://t.co/huVn69fFos"
191201126,2020-01-15 23:03:17+00:00, ,1217583057487659008,en,0,0,0,0,Buffer,China's driverless bullet train will take passengers from Beijing to site of some events for 2022 Winter Olympics. https://t.co/nUYOULkYEM @QuickTake #Olympics2022 #China #bullettrain #5G #FacialRecognition https://t.co/jFMaiAsWrU
754430965737488384,2020-01-15 23:03:00+00:00, ,1217582986792783872,en,0,0,0,1,TweetDeck,"FT's Yuan Yang: US tech backlash forces #China to be more self-sufficient
Beijing embracing open-source collaboration and wooing scientists from overseas  https://t.co/PO2qq101D7 via @financialtimes"
2934851685,2020-01-15 23:02:46+00:00, ,1217582927720013825,en,0,0,0,0,RetailNews.asia,Chinese #Fruit-#Vending machines driven by #AI | read: https://t.co/TBw7c9RuCu | #China #Healthy #Sales #VendingMachine https://t.co/YDL5pr34DZ
25172158,2020-01-15 23:01:51+00:00, ,1217582696680972288,en,0,0,0,0,Twitter for Android,Unprecedented non-sanctioned visit to spy head of #China #CCP by @simonjbridges and @NZNationalParty now even criticised by NZ major allies. They're not the bloody government! #treason
975237330557718528,2020-01-15 23:01:35+00:00, ,1217582632579584003,en,19,0,0,6,Twitter for Android,"家贼难防

家 jiā: family
贼 zéi: thief
难 nán: hard; difficult
防 fáng: to guard against

a thief in the house is hard to guard against
it is hardest to guard oneself against an enemy within
#china #chinese #learnchinese #chengyu #languagelearning #idioms #汉语"
